County,Population,Latitude,Longitude
Barnstable,215888,42.3118,-73.1822
Berkshire,131219,41.6991,-70.3209
Bristol,548285,42.0167,-71.2161
Dukes,16535,41.404,-70.6693
Essex,743159,42.7051,-70.9071
Franklin,71372,42.5306,-72.6151
Hampden,463490,42.1171,-72.6624
Hampshire,158080,42.3471,72.6624
Middlesex,1503085,42.4672,-71.2874
Nantucket,10172,41.2835,-70.0995
Norfolk,670850,42.1767,-71.1449
Plymouth,494919,41.912,-70.7168
Suffolk ,722023,42.3523,-71.0504
Worcester,798552,42.4097,-71.8571
# Latitiude and longitude from google maps ,,,
